tweet,label
فکر کنم اولین بار تو زندگیم بود که انقدر سلیطه شدم فقط این مادرجنده‌ها تونستن اون روی منو بالا بیارن,other
کتاب‌ها و ادبیات عاشقانه میگم یه دنیا احساس و عشق توی هر صفحه‌اش هست همیشه سرگرم‌کننده و الهام‌بخش برام بودن هرکی دنیای خودشو توی کتاب میسازه حس نابی داره من عاشقشونم,books_and_literature
دنیای ما داغونه باید به محیط زیستمون اهمیت بدیم و ازش مراقبت کنیم همه باید توجه کنیم که چه میشه اگه همچین روندی ادامه پیدا کنه بیاید همدیگه رو به این مسئله آگاه کنیم و اقداماتی برای حفظ محیط‌زیست بکنیم,environment_and_sustainability
من ساعت نصف شب هم تو محدوده‌ی انقلاب و پارک لاله هم پیاده برم مطمئنم آشنا می‌بینم,travel_and_adventure
خونه بودن حیوون خیلی خوبه حالا اگه یه حیوون خونگی دارین کدومه؟ من خودم کیتی رو دوست دارم خیلی شیرین و دلنشینه,pets_and_animals
علم و کشف همیشه هیجان‌انگیز و جذاب بوده و همیشه به دنبال کشف چیزهای جدید و جالب هستم علم یک دنیای بی‌پایان است که همیشه می‌توانیم در آن کشف کنیم,science_and_discovery
مد و استایل همیشه بیانگر شخصیت و ذوق شخصی ماست هر کسی با لباس‌ها و ظاهر خودش می‌تونه داستان خودش رو تعریف کنه به نظر من همه باید آزادانه طبق سلیقه خودشون لباس بپوشن و استایل خودشون رو پیدا کنن,fashion_and_style
افتاده تو سرم بافتنی ببافم,art_and_design
ای بابا دلتنگی دوباره خرمو گرفت,other
ولی بغل مامان,family_and_parenting
پروانه‌ای که هرروز صبح منتظرم بود رفته پیش بهارنارنجا و باغای انگور,travel_and_adventure
این چیزهای علمی و کشفی چقدر جذابن همیشه دلم میخواد بیشتر درباره‌ی این موضوعا بدونم علم واقعا جهان رو بهتر میکنه,science_and_discovery
یکم دیگه بگذرم میخوام زنگ بزنم علی بپرسم چجوری قرص اسنیف میکنه درود بر اعتیاد,health_and_wellness
اون لباس که دیروقت می‌پوشیدم الان خیلی قدیمی و از مد افتاده نیاز دارم که استایلم رو آپدیت کنم و یه چیزای جدید بخرم,fashion_and_style
عه دیدین چی شد؟ استادم نمی‌ذاره سازو بذارم کنار P,other
دین و معنویت یه چیزه خیلی شخصی و هرکس به نحو خودش بهش نگاه می‌کنه به نظرم مهمه که همه با احترام به عقاید همدیگه باشیم و به جای زور و اجبار درک و تعامل رو بیشتر پیش بگیریم هرکس حق داره به آرامش و صلح روحی دنبالش بره بدون اینکه دیگران رو قضاوت کنه,religion_and_spirituality
یه پادکستی گوش می‌دادم تو ted radio hour می‌گفت شکستن قلب یه پدیده واقعیه یعنی ممکنه به خاطر غم یا استرس زیاد قلب تغییر شکل بده حتی منجر به مرگ بشه و با سکته متفاوته چون به معنای واقعی کلمه قلبه که تغییر شکل میده و نارسایی ماهیچه به حساب میاد,health_and_wellness
اوه اون هوای گرم و خشک چقدر خسته‌کننده است من خیلی دوست دارم بهار بیاد و هوای خنک و تازه را تجربه کنم,weather_and_seasons
باید برم دوباره اعتماد به نفسمو درست کنم,inspirational_and_motivational
هنر و طراحی چهارچوبی است که می‌تواند ذهن و قلب ما را با زیبایی و خلاقیت پر کند از طراحی نقاشی تا هنرهای مدرن همه آنها می‌توانند به ما شگفتی بیاندازند بدون هنر و طراحی جهان خیلی خشک و بی‌روح خواهد بود,art_and_design
گا,other
